"City","City_latitude","City_longitude","State","Airport","Airport_latitude","Airport_longitude","iata_code"
"Narasannapeta","18.4167","84.05","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Buddayyakota","13.8196","78.1729","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kottakota","13.6592","78.2467","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Guruzala","16.58","79.57","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Guduru","15.775","77.807","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Renigunta","13.65","79.52","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Chintalapudi","17.0417","80.5901","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Poranki","16.4743","80.7128","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Attili","16.7","81.6","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Vodurivandlagudem","16.4286","81.133","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Maduru","14.7616","78.6171","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Pata Kalidindi","16.5014","81.2908","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Gorantla","13.9892","77.7703","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kottapeta","16.7167","81.9","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Aklvidu","16.6","81.3833","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Vinnamala","13.9074","79.9086","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Singarayakonda","15.25","80.0203","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Mogalturru","16.4167","81.6","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Ukkayapalle","14.4898","78.8927","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kosigi","15.85","77.2667","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Sundararaopeta","16.8031","81.6419","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Yadiki","15.05","77.88","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Koilkuntla","15.2333","78.3167","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Tirumala","13.6833","79.35","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Avanigadda","16.0197","80.92","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Mummidivaram","16.65","82.1167","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
