"City","City_latitude","City_longitude","State","Airport","Airport _latitude","Airport _longitude","iata_code","Distance"
"Venkatagirikota","13.0012","78.4795","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","170.7348002"
"Nandyalampeta","14.7218","78.8083","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","23.85916997"
"Duvvuru","14.8333","78.65","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","38.29865635"
"Obalapuram","14.8","78.783","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","32.26526588"
"Battulapalle","14.5167","77.7833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","106.5166958"
"Parigi","13.9069","77.4572","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","156.8671383"
"Belagal","15.8183","77.6702","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","187.5236994"
"Karedu","15.1833","80.0667","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","157.9443099"
"Zuvvaladinne","14.808","80.0705","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","143.4811221"
"Zaladanki","14.8843","79.9125","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","129.4569678"
"Guruvarajukuppam","13.1125","79.5472","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","176.4646685"
"Kolattur","13.3295","79.4797","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","151.8279552"
"Melavayi","13.9397","77.2256","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","178.4128357"
"Bukkapatnam","14.2","77.8","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","110.3146151"
"Pulakurti","15.7502","77.7091","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","179.0334626"
"Papampeta","14.6855","77.578","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","130.0372582"
"Karvetnagar","13.4167","79.45","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","141.8427109"
"Doranala","15.9","79.1","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","158.4986727"
"Tanakallu","13.92","78.18","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","91.57870401"
"Kirikera","13.769","77.4841","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","161.5446897"
"Chinna Orampadu","14.0613","79.2671","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","72.9835403"
"Allur","14.68","80.06","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","139.7972935"
