City ,State,latitude,longitude,Airport_Name,lat,lng,iata_code
Sundararaopeta,Andhra Pradesh,16.8031,81.6419,Kadapa Airport,14.51,78.772778,CDP
Yadiki,Andhra Pradesh,15.05,77.88,Kadapa Airport,14.51,78.772778,CDP
Koilkuntla,Andhra Pradesh,15.2333,78.3167,Kadapa Airport,14.51,78.772778,CDP
Tirumala,Andhra Pradesh,13.6833,79.35,Kadapa Airport,14.51,78.772778,CDP
Avanigadda,Andhra Pradesh,16.0197,80.92,Kadapa Airport,14.51,78.772778,CDP
Mummidivaram,Andhra Pradesh,16.65,82.1167,Kadapa Airport,14.51,78.772778,CDP
Kotturu,Andhra Pradesh,17.0436,81.7705,Kadapa Airport,14.51,78.772778,CDP
Gollapudi,Andhra Pradesh,16.5412,80.5784,Kadapa Airport,14.51,78.772778,CDP
Patakakani,Andhra Pradesh,16.34,80.4908,Kadapa Airport,14.51,78.772778,CDP
Ravulapalem,Andhra Pradesh,16.4833,81.9833,Kadapa Airport,14.51,78.772778,CDP
Velugodu,Andhra Pradesh,15.7817,78.6892,Kadapa Airport,14.51,78.772778,CDP
Kanchika,Andhra Pradesh,16.6856,80.3892,Kadapa Airport,14.51,78.772778,CDP
Ankireddikuntapalem,Andhra Pradesh,15.9154,80.2108,Kadapa Airport,14.51,78.772778,CDP
Bukkarayasamudram,Andhra Pradesh,14.6944,77.6381,Kadapa Airport,14.51,78.772778,CDP
Kuppam,Andhra Pradesh,12.75,78.37,Kadapa Airport,14.51,78.772778,CDP
Mailavaram,Andhra Pradesh,16.7833,80.6333,Kadapa Airport,14.51,78.772778,CDP
Vendram,Andhra Pradesh,16.562,81.4696,Kadapa Airport,14.51,78.772778,CDP
Chagallu,Andhra Pradesh,16.9833,81.6667,Kadapa Airport,14.51,78.772778,CDP
Pakala,Andhra Pradesh,13.4667,79.1167,Kadapa Airport,14.51,78.772778,CDP
Madakasira,Andhra Pradesh,13.9369,77.2694,Kadapa Airport,14.51,78.772778,CDP
Ganapavaram,Andhra Pradesh,16.1233,80.1721,Kadapa Airport,14.51,78.772778,CDP
Pendurti,Andhra Pradesh,17.8278,83.2022,Kadapa Airport,14.51,78.772778,CDP
Maruturu,Andhra Pradesh,15.9862,80.1041,Kadapa Airport,14.51,78.772778,CDP
Pamarru,Andhra Pradesh,16.327,80.961,Kadapa Airport,14.51,78.772778,CDP
Kaikalur,Andhra Pradesh,16.5509,81.2,Kadapa Airport,14.51,78.772778,CDP
